HYA,xi,-33.524411,3.96759,-20.978114,39.74555535,1,
HYA,nu,-40.343946,12.793047,-12.291085,44.07229062,1,
HYA,mu,-63.022703,27.373482,-20.792498,71.78785819,1,
HYA,lambda,-29.938956,15.487743,-7.382812,34.5067701,1,
HYA,upsilon^1,-66.227032,41.59319,-20.730703,80.90596559,1,
HYA,alpha,-43.003468,33.722848,-8.322089,55.27916337,1,
HYA,iota,-66.071937,46.325951,-1.609728,80.71050625,1,
HYA,theta,-26.074955,22.995381,1.405035,34.79461092,1,
HYA,zeta,-35.316755,36.765697,5.309278,51.25600543,1,
HYA,epsilon,-26.198413,29.410867,4.431082,39.63572163,1,
HYA,delta,-31.060832,37.795209,4.886214,49.16429797,1,
HYA,sigma,-72.861703,87.795627,6.661268,114.2859238,2,
HYA,eta,-117.329664,135.898249,10.66243,179.8562525,2,
HYA,zeta,-35.316755,36.765697,5.309278,51.25600543,1,
HYA,,,,,,,
PUP,rho,-9.379037,15.076242,-8.018549,19.48221076,1,
PUP,xi,-153.118527,296.362603,-154.558514,367.647127,3,
PUP,zeta,-130.674899,218.376203,-213.564535,332.2256852,3,
PUP,pi,-65.206299,186.349551,-149.300305,247.5249435,2,
PUP,sigma,-16.404069,39.982094,-40.72716,59.38318686,1,
PUP,zeta,-130.674899,218.376203,-213.564535,332.2256852,3,
PUP,,,,,,,
PUP,sigma,-16.404069,39.982094,-40.72716,59.38318686,1,
PUP,L2,,,,,,
PUP,nu,-13.61885,81.907249,-77.960909,113.8954514,2,
PUP,tau,-7.654383,34.572281,-43.130564,55.8039223,1,
PUP,L2,,,,,,
PUP,,,,,,,
COL,delta,-5.767253,59.585068,-39.52731,71.73597265,1,
COL,gamma,2.339512,217.669281,-154.031992,266.6669154,2,
COL,beta,0.855327,21.672805,-15.624858,26.73159644,1,
COL,alpha,5.885917,66.110037,-44.89318,80.12851316,1,
COL,epsilon,8.234768,65.213718,-46.834868,80.71025511,1,
COL,,,,,,,
COL,beta,0.855327,21.672805,-15.624858,26.73159644,1,
COL,eta,0.395224,106.157169,-98.3554,144.7179513,2,
COL,,,,,,,
CAR,alpha,-5.992679,57.132034,-75.396105,94.78688812,1,
CAR,chi,-40.958494,73.302689,-111.359983,139.4701698,2,
